timestamp,original_artist,original_title,remix_info,platform,found_artist,found_title,url,price
00:00:00,Master C & J,Dub Love,[Trax],No results found,,,,
00:06:00,Kaay Alexi,My My My,[Radikal Fear],No results found,,,,
00:21:00,Sleezy D,I've Lost Control,Space Side,Bandcamp,Sleezy D,Sleezy D - I've Lost Control (2017 Edit),https://freakin909.bandcamp.com/track/sleezy-d-ive-lost-control-2017-edit?from=search&search_item_id=1762471329&search_item_type=t&search_match_part=%3F&search_page_id=4854666061&search_page_no=1&search_rank=1&search_sig=de8e214d1f58c52d8bb712c01bf4d2ff,
00:21:00,Sleezy D,I've Lost Control,Space Side,Bandcamp,"Sleezy D, Flashmob",Sleezy D - I've Lost Control (Flashmob Remix),https://freakin909.bandcamp.com/track/sleezy-d-ive-lost-control-flashmob-remix?from=search&search_item_id=1538647596&search_item_type=t&search_match_part=%3F&search_page_id=4854666061&search_page_no=1&search_rank=2&search_sig=e7940f58a176cf41b3cac6948b5e059d,
00:21:00,Sleezy D,I've Lost Control,Space Side,Bandcamp,"Sleezy D, Way Out West",Sleezy D - I've Lost Control (Way Out West Remix),https://freakin909.bandcamp.com/track/sleezy-d-ive-lost-control-way-out-west-remix?from=search&search_item_id=3500771036&search_item_type=t&search_match_part=%3F&search_page_id=4854666061&search_page_no=1&search_rank=3&search_sig=596216134df5f0b620d0330b5b28e553,
00:30:00,Mike Dunn Pres. MD III,Personal Problem,,No results found,,,,
00:36:00,"A Black Man, A Black Man And Another Black Man",I Believe,B Side,No results found,,,,
00:46:00,K,Alexi - Vertigo,,Bandcamp,"from LOVE On Fire - K' Alexi Shel& Tony Lovelesss(K)
                                                    K' ALEXI SHELBY",K' Alexi Shelby's Vertigo,https://kalexishelby.bandcamp.com/track/k-alexi-shelbys-vertigo?from=search&search_item_id=623617639&search_item_type=t&search_match_part=%3F&search_page_id=4854667313&search_page_no=1&search_rank=1&search_sig=3904650f03660498e2a1427434572983,
00:46:00,K,Alexi - Vertigo,,Bandcamp,"from LOVE On Fire - K' Alexi Shel& Tony Lovelesss(K)
                                                    K' ALEXI SHELBY",Vertigo - K' Alexi Shelby (#KKlassik),https://kalexishelby.bandcamp.com/track/vertigo-k-alexi-shelby-kklassik?from=search&search_item_id=3507090283&search_item_type=t&search_match_part=%3F&search_page_id=4854667313&search_page_no=1&search_rank=2&search_sig=17ebbb0418426b65f05bb6f0182c7e30,
00:46:00,K,Alexi - Vertigo,,Bandcamp,"from Krazy 90's - K' Alexi Shel& Risqué M3
                                                    K' Alexi Shel& Tony Lovelesss",Vertigo - K' Alexi Shelby(Blueprint Klassik)K,https://kalexishelby.bandcamp.com/track/vertigo-k-alexi-shelby-blueprint-klassik-k?from=search&search_item_id=3821119001&search_item_type=t&search_match_part=%3F&search_page_id=4854667313&search_page_no=1&search_rank=3&search_sig=9cd839e0c5cf17c843ab7afbf39a73b6,
00:51:00,DJ Pierre,Box Energy,"12"" Club Mix",Bandcamp,TRAX Records,BOX ENERGY (ORIGINAL)-DJ PIERRE,https://traxrecords.bandcamp.com/track/box-energy-original-dj-pierre?from=search&search_item_id=4231964154&search_item_type=t&search_match_part=%3F&search_page_id=4854667692&search_page_no=1&search_rank=1&search_sig=24e1898a4142b055002b081451ab920d,
00:51:00,DJ Pierre,Box Energy,"12"" Club Mix",Bandcamp,"from X-Mix∶ Jack the Box
                                                    DJ Pierre",Box Energy,https://x-mix.bandcamp.com/track/box-energy?from=search&search_item_id=3012676528&search_item_type=t&search_match_part=%3F&search_page_id=4854667692&search_page_no=1&search_rank=2&search_sig=1f4ddb1cd5d83cd971cd68ae62ab1509,
00:51:00,DJ Pierre,Box Energy,"12"" Club Mix",Bandcamp,"from The House Of Hits Box Set. Vol.11 - 1989
                                                    DJ Pierre",Box Energy,https://hitsofdeephouse.bandcamp.com/track/box-energy?from=search&search_item_id=1317752357&search_item_type=t&search_match_part=%3F&search_page_id=4854667692&search_page_no=1&search_rank=3&search_sig=94932ee59f4fe6d96bf7efab8eabbe69,
00:55:00,Chip E,Time To Jack,,Bandcamp,"from Vol. 2
                                                    Chip E",Time To Jack Your Body (CHC Mix),https://chicagohousingcommission.bandcamp.com/track/time-to-jack-your-body-chc-mix?from=search&search_item_id=444390787&search_item_type=t&search_match_part=%3F&search_page_id=4854668096&search_page_no=1&search_rank=1&search_sig=7d933dfd69493309364ee133026d2151,
00:55:00,Chip E,Time To Jack,,Bandcamp,"from D.J. International Classics - 1989
                                                    Chip E.",Time To Jack,https://housesoundfromchicago.bandcamp.com/track/time-to-jack?from=search&search_item_id=2505680600&search_item_type=t&search_match_part=%3F&search_page_id=4854668096&search_page_no=1&search_rank=2&search_sig=5769ed7a1be51fb272d45b35cdf3ddb1,
00:57:00,Maurice Joshua & Hot Hands Hula,Gotta Big Dick,Instrumental Mix Remastered,No results found,,,,
01:12:00,Maurice Joshua & Hot Hands Hula,Feel The Mood,,No results found,,,,
01:23:00,Marshall Jefferson Pres. Dancing Flutes,Do The House,,No results found,,,,
