timestamp,original_artist,original_title,remix_info,platform,found_artist,found_title,url,price
00:06:21,Matias Aguayo,El Camaron,Ricardo Villalobos Remix,Bandcamp,Matias Aguayo,El Camarón Remix Pack,https://musicacomeme.com/album/el-camar-n-remix-pack?from=search&search_item_id=1874137823&search_item_type=a&search_match_part=%3F&search_page_id=4524886775&search_page_no=1&search_rank=1&search_sig=97f9fa364dc9ebe3b49f087d7d96fcf8,
00:06:21,Matias Aguayo,El Camaron,Ricardo Villalobos Remix,Bandcamp,"Matias Aguayo, Ricardo V",El Camarón Remixes (ft. Ricardo Villalobos),https://musicacomeme.com/album/el-camar-n-remixes-ft-ricardo-villalobos?from=search&search_item_id=416617163&search_item_type=a&search_match_part=%3F&search_page_id=4524886775&search_page_no=1&search_rank=2&search_sig=49f2b00805412a04bc0d2d35e25a2e11,
00:06:21,Matias Aguayo,El Camaron,Ricardo Villalobos Remix,Bandcamp,"from El Camarón Remixes (ft. Ricardo Villalobos)
                                                    Matias Aguayo, Ricardo V",Matias Aguayo - EL Camarón (Ricardo Villalobos Remix),https://musicacomeme.com/track/matias-aguayo-el-camaro-n-ricardo-villalobos-remix?from=search&search_item_id=2803449046&search_item_type=t&search_match_part=%3F&search_page_id=4524886775&search_page_no=1&search_rank=3&search_sig=c82fb8d79a064573de6b47332513734d,
00:20:03,Heiko Laux & Johannes Heil,No Pain No Gain,Ricardo Villalobos Remix,No results found,,,,
00:26:39,Wladimir M.,Evil,,Bandcamp,Wladimir M,Evil / Planet E (Skee Mask Remix),https://wladimirm.bandcamp.com/album/evil-planet-e-skee-mask-remix?from=search&search_item_id=307989733&search_item_type=a&search_match_part=%3F&search_page_id=4524887664&search_page_no=1&search_rank=1&search_sig=2ea1ee1a038396ca795b75729b125fb4,
00:26:39,Wladimir M.,Evil,,Bandcamp,"from Evil / Planet E (Skee Mask Remix)
                                                    Wladimir M",Planet E (Skee Mask Remix),https://wladimirm.bandcamp.com/track/planet-e-skee-mask-remix?from=search&search_item_id=1815581870&search_item_type=t&search_match_part=%3F&search_page_id=4524887664&search_page_no=1&search_rank=2&search_sig=8acf458c188feae18bd51199147da1c9,
00:26:39,Wladimir M.,Evil,,Bandcamp,"from Evil / Planet E (Skee Mask Remix)
                                                    Wladimir M",Evil,https://wladimirm.bandcamp.com/track/evil-2?from=search&search_item_id=1860030929&search_item_type=t&search_match_part=%3F&search_page_id=4524887664&search_page_no=1&search_rank=3&search_sig=a5500722386f4b348d50321b83052f19,
00:32:00,Ricardo Villalobos,Lugom-ix,,No results found,,,,
00:40:31,"Mark Broom, Riva Starr, Star B",I've Got Joy,,Bandcamp,"from Love Will Remain EP
                                                    Star B, Riva Starr, Mark Broom",I've Got Joy,https://rekids.bandcamp.com/track/ive-got-joy?from=search&search_item_id=3195690126&search_item_type=t&search_match_part=%3F&search_page_id=4524888518&search_page_no=1&search_rank=1&search_sig=a14425a66d80692fee47f85451ac03b8,
00:44:53,Elisa Bee,A Sun That Never Goes Down,,Bandcamp,"from Lefto Early Bird presents The Beauty Is Inside
                                                    Elisa Bee",A Sun That Never Goes Down,https://bbemusic.bandcamp.com/track/a-sun-that-never-goes-down?from=search&search_item_id=699895463&search_item_type=t&search_match_part=%3F&search_page_id=4524888830&search_page_no=1&search_rank=1&search_sig=fd639acf1d64f09ed75af20070c5b4d9,
00:49:49,Radio Slave,Don't Stop No Sleep,Robert Hood Remix,Bandcamp,"from Schime-Night
                                                     𝕾𝖈𝖍𝖎𝖒𝖊[𝕽𝖆𝖜𝕯𝖚𝖇𝕯𝖔𝖌𝖘]",RadioSlave-Don'tStopNoSleep(Schime remix),https://schime.bandcamp.com/track/radioslave-dontstopnosleep-schime-remix?from=search&search_item_id=1467335833&search_item_type=t&search_match_part=%3F&search_page_id=4524889128&search_page_no=1&search_rank=1&search_sig=510be0ef2d0837338725621c113ce561,
00:49:49,Radio Slave,Don't Stop No Sleep,Robert Hood Remix,Bandcamp,Radio Slave (Robert Hood / Tale Of Us / Roman Poncet and DJ Deep Remixes),NONPLUS 033 - 'Dont Stop No Sleep' Remixes,https://nonplusrecords.bandcamp.com/album/nonplus-033-dont-stop-no-sleep-remixes?from=search&search_item_id=1247479233&search_item_type=a&search_match_part=%3F&search_page_id=4524889128&search_page_no=1&search_rank=2&search_sig=54726eb280626b9956f282d5c20b66f6,
00:49:49,Radio Slave,Don't Stop No Sleep,Robert Hood Remix,Bandcamp,Radio Slave,Don't Stop No Sleep,https://radioslave.bandcamp.com/album/dont-stop-no-sleep?from=search&search_item_id=1827847084&search_item_type=a&search_match_part=%3F&search_page_id=4524889128&search_page_no=1&search_rank=3&search_sig=2036fd322d6afac09d103ea315c72858,
00:55:11,Night On Earth,My Brain,,No results found,,,,
01:03:14,Moby,All That I Need Is to Be Loved,Moby Dub,Bandcamp,Moby,All That I Need Is To Be Loved (Melodic Mix - Gré Maillard Edit),https://szeretet.bandcamp.com/album/all-that-i-need-is-to-be-loved-melodic-mix-gr-maillard-edit?from=search&search_item_id=3893549346&search_item_type=a&search_match_part=%3F&search_page_id=4524889805&search_page_no=1&search_rank=1&search_sig=59c6ec8966cb5b581f1ed3d1d405413d,
01:03:14,Moby,All That I Need Is to Be Loved,Moby Dub,Bandcamp,"from All That I Need Is To Be Loved (Melodic Mix - Gré Maillard Edit)
                                                    Moby",All That I Need Is To Be Loved (Melodic Mix - Gré Maillard Edit),https://szeretet.bandcamp.com/track/all-that-i-need-is-to-be-loved-melodic-mix-gr-maillard-edit?from=search&search_item_id=3071324398&search_item_type=t&search_match_part=%3F&search_page_id=4524889805&search_page_no=1&search_rank=2&search_sig=43d7901693445fbb7657117190b8cef8,
01:08:50,Frost,Something we cannot change,,Bandcamp,"from Various - 10 Years Pressure Traxx - PTX030
                                                    Frost",Frost - Something We Cannot Change - PTX030,https://pressuretraxx.bandcamp.com/track/frost-something-we-cannot-change-ptx030?from=search&search_item_id=4066869303&search_item_type=t&search_match_part=%3F&search_page_id=4524890184&search_page_no=1&search_rank=1&search_sig=9e887bbf297ef242b51adc1848bf836e,
01:14:43,"Hell, Jonzon",Lifeform,Original Mix,Bandcamp,"from EP No. 1
                                                    DJ Hell + Jonzon",Lifeform,https://djhellofficial.bandcamp.com/track/lifeform?from=search&search_item_id=4259025182&search_item_type=t&search_match_part=%3F&search_page_id=4524890461&search_page_no=1&search_rank=1&search_sig=d9ed5bd493c82c1788dad8834440bb8e,
01:14:43,"Hell, Jonzon",Lifeform,Original Mix,Bandcamp,"from RWXHELL01
                                                    Dj Hell / Jonzon",Lifeform,https://dbh-music.bandcamp.com/track/lifeform?from=search&search_item_id=3463908795&search_item_type=t&search_match_part=%3F&search_page_id=4524890461&search_page_no=1&search_rank=2&search_sig=3e690e27e063d313506ccc6b3c07d6a9,
01:17:43,Tim Shiel,Coliseum,Sig Nu Gris Remix,Bandcamp,Tim Shiel,Coliseum (feat. Genesis Owusu) (Sig Nu Gris Remix),https://timshiel.bandcamp.com/track/coliseum-feat-genesis-owusu-sig-nu-gris-remix?from=search&search_item_id=2934571146&search_item_type=t&search_match_part=%3F&search_page_id=4524890760&search_page_no=1&search_rank=1&search_sig=0fa1c227438b6e743f2bf9575c71a7e7,
01:17:43,Tim Shiel,Coliseum,Sig Nu Gris Remix,Bandcamp,Tim Shiel,Coliseum (feat. Genesis Owusu),https://timshiel.bandcamp.com/track/coliseum-feat-genesis-owusu?from=search&search_item_id=1297599510&search_item_type=t&search_match_part=%3F&search_page_id=4524890760&search_page_no=1&search_rank=2&search_sig=7e93f357bcc3024e8db545c5821718bb,
01:17:43,Tim Shiel,Coliseum,Sig Nu Gris Remix,Bandcamp,"from Distractions One: Variants
                                                    Tim Shiel",Coliseum (feat. Genesis Owusu) (Sig Nu Gris Remix),https://timshiel.bandcamp.com/track/coliseum-feat-genesis-owusu-sig-nu-gris-remix-2?from=search&search_item_id=319559192&search_item_type=t&search_match_part=%3F&search_page_id=4524890760&search_page_no=1&search_rank=3&search_sig=2e2843f3329fe9f37a77b227e874e656,
01:24:51,Floorplan,"Baby, Baby",,Bandcamp,"from Sanctified EP
                                                    Floorplan","Baby, Baby",https://m-plant.bandcamp.com/track/baby-baby-2?from=search&search_item_id=1080537858&search_item_type=t&search_match_part=%3F&search_page_id=4524891093&search_page_no=1&search_rank=1&search_sig=023e2908d4f98e89f5acd3a880ae5248,
01:24:51,Floorplan,"Baby, Baby",,Bandcamp,"from Paradise
                                                    Floorplan","Baby, Baby",https://m-plant.bandcamp.com/track/baby-baby?from=search&search_item_id=2429794439&search_item_type=t&search_match_part=%3F&search_page_id=4524891093&search_page_no=1&search_rank=2&search_sig=5b96b8c12832aafab5fde1acf0deeedc,
01:24:51,Floorplan,"Baby, Baby",,Bandcamp,"from M-Print: 20 Years of M-Plant Music
                                                    Floorplan","Baby, Baby",https://m-plant.bandcamp.com/track/baby-baby-3?from=search&search_item_id=840394246&search_item_type=t&search_match_part=%3F&search_page_id=4524891093&search_page_no=1&search_rank=3&search_sig=9344320a80bf96fccbd80f2e3494af4f,
01:29:42,Sir E.U,Ocean,,Bandcamp,"from Timeism
                                                    Sir E.U",Ocean (prod. Dolo Percussion),https://futuretimes.bandcamp.com/track/ocean-prod-dolo-percussion?from=search&search_item_id=3379012842&search_item_type=t&search_match_part=%3F&search_page_id=4524891398&search_page_no=1&search_rank=1&search_sig=d9332a0d550dc394eae687e6aa503e76,
01:29:42,Sir E.U,Ocean,,Bandcamp,"from FUTURE TIMES CATALOG ++ Compilation
                                                    Sir E.U",Ocean (Prod. Dolo Percussion),https://futuretimes.bandcamp.com/track/ocean-prod-dolo-percussion-2?from=search&search_item_id=393995613&search_item_type=t&search_match_part=%3F&search_page_id=4524891398&search_page_no=1&search_rank=2&search_sig=940c96e2222419a2ffb4fefe9ed54f72,
01:29:42,Sir E.U,Ocean,,Bandcamp,ALIVE,"EARTH, AIR AND THE OCEAN ( E.P 2013 )",https://alvbdg.bandcamp.com/album/earth-air-and-the-ocean-e-p-2013?from=search&search_item_id=2484719139&search_item_type=a&search_match_part=%3F&search_page_id=4524891398&search_page_no=1&search_rank=3&search_sig=e2993035efafa595267831b266649358,
01:37:56,Floorplan,Eclipse,,Bandcamp,"from Paradise
                                                    Floorplan",Eclipse,https://m-plant.bandcamp.com/track/eclipse?from=search&search_item_id=3050832354&search_item_type=t&search_match_part=%3F&search_page_id=4524891699&search_page_no=1&search_rank=1&search_sig=1f08dbbe6ae0e5a05cac7e5b0fd8880c,
